shot_id,cast,ref,prompt,world,duration_s,steps,cfg,mode,seed,size,negative,status,notes
S03_order,Mintu+Appa+Minnu,../row-row-row-your-boat/refs/minnu-appa-mintu-16x9.png,../row-row-row-your-boat/shots/S03.txt,../row-row-row-your-boat/world.txt,6.3,6,1.5,distilled,30313,832x480,../row-row-row-your-boat/negative.txt,,cheap first: distilled cfg1.5 Appa-between sheet with Mintu's lock FIRST in cast (~2 min)
S03_full,Appa+Minnu+Mintu,../row-row-row-your-boat/refs/minnu-appa-mintu-16x9.png,../row-row-row-your-boat/shots/S03.txt,../row-row-row-your-boat/world.txt,6.3,,,full,30313,832x480,../row-row-row-your-boat/negative.txt,,FULL sampling Appa-between sheet (~15 min at 101 frames)
T09a_early,Minmini,../twinkle-twinkle/refs/minmini-front-16x9.png,../twinkle-twinkle/shots/T09a.txt,../twinkle-twinkle/world.txt,5,,,full,30313,832x480,../twinkle-twinkle/negative.txt,,FULL single-tile rerun with 'within the first second ... holds to the end' wording (4h winked only in the last 0.4 s) (~12 min)
