shot_id,cast,ref,prompt,world,duration_s,steps,cfg,mode,engine,keyframe,seed,size,negative,status,notes
T17_vsep,Minnu+Mintu,../twinkle-twinkle/refs/minnu-body-16x9.png|../twinkle-twinkle/refs/mintu-front-16x9.png,../twinkle-twinkle/shots/T17.txt,../twinkle-twinkle/world.txt,5,,,full,vace,,30313,832x480,../twinkle-twinkle/negative.txt,,ITEM 1: the failed shot with two SEPARATE refs via WanVaceToVideoMultiRef; full sampling like 4j
T07_vsep,Minnu+Mintu,../twinkle-twinkle/refs/minnu-body-16x9.png|../twinkle-twinkle/refs/mintu-front-16x9.png,../twinkle-twinkle/shots/T07.txt,../twinkle-twinkle/world.txt,5,,,full,vace,,30313,832x480,../twinkle-twinkle/negative.txt,,ITEM 1: control - held with the sheet at full; must still hold with separate refs
T17_vsep_d,Minnu+Mintu,../twinkle-twinkle/refs/minnu-body-16x9.png|../twinkle-twinkle/refs/mintu-front-16x9.png,../twinkle-twinkle/shots/T17.txt,../twinkle-twinkle/world.txt,5,6,1.0,distilled,vace,,30313,832x480,../twinkle-twinkle/negative.txt,,ITEM 1: cheap distilled variant (~1 min) - does separate refs help even at cfg 1
T17_ph_d,Minnu+Mintu,../twinkle-twinkle/refs/minnu-body-16x9.png|../twinkle-twinkle/refs/mintu-front-16x9.png,../twinkle-twinkle/shots/T17.txt,../twinkle-twinkle/world.txt,5,6,1.0,distilled,phantom,,30313,832x480,../twinkle-twinkle/negative.txt,,ITEM 2: Phantom + lightx2v LoRA (does the T2V distill LoRA apply to Phantom; grep comfyui.log for 'lora key not loaded')
T17_ph,Minnu+Mintu,../twinkle-twinkle/refs/minnu-body-16x9.png|../twinkle-twinkle/refs/mintu-front-16x9.png,../twinkle-twinkle/shots/T17.txt,../twinkle-twinkle/world.txt,5,,,full,phantom,,30313,832x480,../twinkle-twinkle/negative.txt,,ITEM 2: Phantom-Wan-14B full sampling (cfg 5 against negative_img_text = text + reference guidance)
T07_ph,Minnu+Mintu,../twinkle-twinkle/refs/minnu-body-16x9.png|../twinkle-twinkle/refs/mintu-front-16x9.png,../twinkle-twinkle/shots/T07.txt,../twinkle-twinkle/world.txt,5,,,full,phantom,,30313,832x480,../twinkle-twinkle/negative.txt,,ITEM 2: Phantom control
