shot_id,cast,ref,prompt,world,duration_s,steps,cfg,mode,seed,size,negative,status,notes
T09a_full,Minmini,../twinkle-twinkle/refs/minmini-wink-16x9.png,../twinkle-twinkle/shots/T09a.txt,../twinkle-twinkle/world.txt,5,,,full,30313,832x480,../twinkle-twinkle/negative.txt,,wink: FULL sampling (no LoRA 30 steps cfg 5 uni_pc) two-tile sheet
T09a_full1,Minmini,../twinkle-twinkle/refs/minmini-front-16x9.png,../twinkle-twinkle/shots/T09a.txt,../twinkle-twinkle/world.txt,5,,,full,30313,832x480,../twinkle-twinkle/negative.txt,,wink: FULL sampling single-tile sheet (ghost check)
T09a_d1,Minmini,../twinkle-twinkle/refs/minmini-front-16x9.png,../twinkle-twinkle/shots/T09a.txt,../twinkle-twinkle/world.txt,5,6,1.0,distilled,4242,832x480,../twinkle-twinkle/negative.txt,,ghost check only: distilled cfg1 seed 4242 single-tile sheet (4g _s6 had the ghost with two tiles)
S03_full,Appa+Minnu+Mintu,../row-row-row-your-boat/refs/minnu-appa-mintu-16x9.png,../row-row-row-your-boat/shots/S03.txt,../row-row-row-your-boat/world.txt,6.3,,,full,30313,832x480,../row-row-row-your-boat/negative.txt,,S03 FULL sampling between-sheet
S03_order,Mintu+Appa+Minnu,../row-row-row-your-boat/refs/minnu-appa-mintu-16x9.png,../row-row-row-your-boat/shots/S03.txt,../row-row-row-your-boat/world.txt,6.3,6,1.5,distilled,30313,832x480,../row-row-row-your-boat/negative.txt,,S03 distilled cfg1.5 with Mintu's lock FIRST in cast order (tail loses first)
