shot_id,cast,ref,prompt,world,duration_s,steps,cfg,mode,engine,keyframe,seed,size,negative,status,notes
T04_ph720,Minnu,../twinkle-twinkle/refs/minnu-body-16x9.png,../twinkle-twinkle/shots/T04.txt,../twinkle-twinkle/world.txt,5,6,1.0,distilled,phantom,,30313,1280x720,../twinkle-twinkle/negative.txt,,single-child close-up at 720p distilled (~4-5 min A100)
T08_ph720,Minmini,../twinkle-twinkle/refs/minmini-front-16x9.png|../twinkle-twinkle/refs/minmini-sideA-16x9.png,../twinkle-twinkle/shots/T08.txt,../twinkle-twinkle/world.txt,5,,,full,phantom,,30313,1280x720,../twinkle-twinkle/negative.txt,,mascot at 720p full; two refs (front + side) since the shot is side-on (~25 min A100)
T07_ph720,Minnu+Mintu,../twinkle-twinkle/refs/minnu-body-16x9.png|../twinkle-twinkle/refs/mintu-front-16x9.png,shots/T07-closedmouth.txt,../twinkle-twinkle/world.txt,5,,,full,phantom,,30313,1280x720,../twinkle-twinkle/negative.txt,,two children at 720p full; T07 with the open-mouth negative moved up front (~25 min A100)
