shot_id,cast,ref,prompt,world,duration_s,steps,cfg,seed,size,negative,status,notes
T09a_c2,Minmini,../twinkle-twinkle/refs/minmini-wink-16x9.png,../twinkle-twinkle/shots/T09a.txt,../twinkle-twinkle/world.txt,5,6,2.0,30313,832x480,../twinkle-twinkle/negative.txt,done,wink: 6 steps cfg 2.0 (negatives active) same seed
T09a_c2_s2,Minmini,../twinkle-twinkle/refs/minmini-wink-16x9.png,../twinkle-twinkle/shots/T09a.txt,../twinkle-twinkle/world.txt,5,6,2.0,4242,832x480,../twinkle-twinkle/negative.txt,done,wink: cfg 2.0 second seed
T09a_s6,Minmini,../twinkle-twinkle/refs/minmini-wink-16x9.png,../twinkle-twinkle/shots/T09a.txt,../twinkle-twinkle/world.txt,5,6,1.0,4242,832x480,../twinkle-twinkle/negative.txt,done,wink: 6 steps cfg 1.0 new seed (control)
S03_c15,Appa+Minnu+Mintu,../row-row-row-your-boat/refs/appa-mintu-minnu-16x9.png,../row-row-row-your-boat/shots/S03.txt,../row-row-row-your-boat/world.txt,6.3,6,1.5,30313,832x480,../row-row-row-your-boat/negative.txt,done,rewritten S03 (outfit+position binding) cfg 1.5 same sheet
S03_between,Appa+Minnu+Mintu,../row-row-row-your-boat/refs/minnu-appa-mintu-16x9.png,../row-row-row-your-boat/shots/S03.txt,../row-row-row-your-boat/world.txt,6.3,6,1.0,30313,832x480,../row-row-row-your-boat/negative.txt,done,rewritten S03 cfg 1.0 with Appa-between sheet
S03_between_c15,Appa+Minnu+Mintu,../row-row-row-your-boat/refs/minnu-appa-mintu-16x9.png,../row-row-row-your-boat/shots/S03.txt,../row-row-row-your-boat/world.txt,6.3,6,1.5,30313,832x480,../row-row-row-your-boat/negative.txt,done,rewritten S03 cfg 1.5 with Appa-between sheet
